Date,0
2024-09-10,ESU4
2024-09-11,ESU4
2024-09-12,ESU4
2024-09-13,ESU4
2024-09-16,ESU4
2024-09-17,ESZ4
2024-09-18,ESZ4
2024-09-19,ESZ4
2024-09-20,ESZ4
2024-09-23,ESZ4
2024-09-24,ESZ4
2024-09-25,ESZ4
2024-09-26,ESZ4
2024-09-27,ESZ4
2024-09-30,ESZ4
2024-10-01,ESZ4
2024-10-02,ESZ4
2024-10-03,ESZ4
2024-10-04,ESZ4
2024-10-07,ESZ4
2024-10-08,ESZ4
2024-10-09,ESZ4
2024-10-10,ESZ4
2024-10-11,ESZ4
2024-10-14,ESZ4
2024-10-15,ESZ4
2024-10-16,ESZ4
2024-10-17,ESZ4
2024-10-18,ESZ4
2024-10-21,ESZ4
2024-10-22,ESZ4
2024-10-23,ESZ4
2024-10-24,ESZ4
2024-10-25,ESZ4
2024-10-28,ESZ4
2024-10-29,ESZ4
2024-10-30,ESZ4
2024-10-31,ESZ4
2024-11-01,ESZ4
2024-11-04,ESZ4
2024-11-05,ESZ4
2024-11-06,ESZ4
2024-11-07,ESZ4
2024-11-08,ESZ4
2024-11-11,ESZ4
2024-11-12,ESZ4
2024-11-13,ESZ4
2024-11-14,ESZ4
2024-11-15,ESZ4
2024-11-18,ESZ4
2024-11-19,ESZ4
2024-11-20,ESZ4
2024-11-21,ESZ4
2024-11-22,ESZ4
2024-11-25,ESZ4
2024-11-26,ESZ4
2024-11-27,ESZ4
2024-11-29,ESZ4
2024-12-02,ESZ4
2024-12-03,ESZ4
2024-12-04,ESZ4
2024-12-05,ESZ4
2024-12-06,ESZ4
2024-12-09,ESZ4
2024-12-10,ESZ4
2024-12-11,ESZ4
2024-12-12,ESZ4
2024-12-13,ESZ4
2024-12-16,ESZ4
2024-12-17,ESH5
2024-12-18,ESH5
2024-12-19,ESH5
2024-12-20,ESH5
2024-12-23,ESH5
2024-12-24,ESH5
2024-12-26,ESH5
2024-12-27,ESH5
2024-12-30,ESH5
2024-12-31,ESH5
2025-01-02,ESH5
2025-01-03,ESH5
2025-01-06,ESH5
2025-01-07,ESH5
2025-01-08,ESH5
2025-01-10,ESH5
2025-01-13,ESH5
