Date,combined_nav
2024-05-20,127299639.43161279
2024-05-21,128208287.64328921
2024-05-22,128275083.405968
2024-05-23,129253710.14412539
2024-05-24,129676837.43033662
2024-05-28,130157541.94167879
2024-05-29,131270108.38659646
2024-05-30,131158047.04737133
2024-05-31,129744183.31013077
2024-06-03,130855993.23199692
2024-06-04,130830003.85305923
2024-06-05,130431617.86094272
2024-06-06,131050691.7656477
2024-06-07,131588014.33818941
2024-06-10,131038186.42293051
2024-06-11,131322184.26463759
2024-06-12,131128269.81381275
2024-06-13,131436845.78144361
2024-06-14,131408643.99433944
2024-06-17,131472023.20985536
2024-06-18,130848921.25176707
2024-06-20,131165998.5718301
2024-06-21,131258605.52073567
2024-06-24,130816334.85308354
2024-06-25,132259720.14020663
2024-06-26,133828002.67641804
2024-06-27,133920283.18749213
2024-06-28,133135313.47182955
2024-07-01,135377087.80867562
2024-07-02,137148364.66325167
2024-07-03,138299850.87773567
2024-07-05,139484168.16591382
2024-07-08,138968904.7526525
2024-07-09,139993739.79986778
2024-07-10,139720297.72683102
2024-07-11,136406598.11627644
2024-07-12,135967518.67819804
2024-07-15,136260107.75706723
2024-07-16,135080166.84172386
2024-07-17,134802097.30492413
2024-07-18,135265431.54786813
2024-07-19,135065528.59383464
2024-07-22,135797553.29424858
2024-07-23,135887844.25235987
2024-07-24,133220974.41146669
2024-07-25,133287999.16243073
2024-07-26,133099336.89543077
2024-07-29,133855234.39236405
2024-07-30,133535752.26686913
2024-07-31,134094552.88686213
2024-08-01,134611994.220995
2024-08-02,134478384.63447532
2024-08-05,133862813.48185071
2024-08-06,133864262.3863456
2024-08-07,133715457.0772493
2024-08-08,133414099.62057708
2024-08-09,133793381.21371186
2024-08-12,134160103.09541178
2024-08-13,134467645.15752754
2024-08-14,133591656.20709878
2024-08-15,134269978.40468836
2024-08-16,134360257.23444253
2024-08-19,134580349.42729968
2024-08-20,134738064.40548152
2024-08-21,134699641.07349718
2024-08-22,133811054.8795826
2024-08-23,134001059.06458944
2024-08-26,133354397.70887463
2024-08-27,132853946.12363398
2024-08-28,132756078.93360867
2024-08-29,132575901.02197084
2024-08-30,133187464.69256943
2024-09-03,133361960.36699751
2024-09-04,133733425.8882445
2024-09-05,135543207.24776277
2024-09-06,134027656.95861249
2024-09-09,134367551.1285029
2024-09-10,134411350.66992941
2024-09-11,135245330.60676947
2024-09-12,135538297.15724862
2024-09-13,135010709.85235727
2024-09-16,134553221.86795902
2024-09-17,135197839.32212588
2024-09-18,135409677.27467233
2024-09-19,135509886.50032786
2024-09-20,135615444.23836368
2024-09-23,135992879.56992143
2024-09-24,135310471.93835565
2024-09-25,135820964.4920975
2024-09-26,134942704.18201715
2024-09-27,135514333.26239285
2024-09-30,135466871.91898388
2024-10-01,135822298.91508594
2024-10-02,135017654.9843382
2024-10-03,135123083.9272601
2024-10-04,135730314.4239723
2024-10-07,135358859.13236082
2024-10-08,135279025.14370072
2024-10-09,134151974.30805928
2024-10-10,134583294.60823047
2024-10-11,133168552.741812
2024-10-14,132399257.94956358
2024-10-15,133774180.34588648
2024-10-16,133483220.86311278
2024-10-17,133739171.27104601
2024-10-18,133717791.59336042
2024-10-21,134195032.84552866
2024-10-22,134982165.82816797
2024-10-23,134672783.63222718
2024-10-24,138237898.96070087
2024-10-25,139273348.3319807
2024-10-28,139035143.501616
2024-10-29,139291667.82922792
2024-10-30,140747759.2623046
2024-10-31,140438193.24032027
2024-11-01,141136233.6749039
2024-11-04,140231084.4901533
2024-11-05,139861307.61098504
2024-11-06,141979100.85782468
2024-11-07,142082973.73134053
2024-11-08,141997126.8633957
2024-11-11,142901293.07896432
2024-11-12,143172577.69866002
2024-11-13,143274611.76244724
2024-11-14,143208488.79721355
2024-11-15,144348175.18991053
2024-11-18,144955274.63706753
2024-11-19,146052486.34549356
2024-11-20,145020803.86330935
2024-11-21,142961512.6535232
2024-11-22,142403023.07988638
2024-11-25,141781037.44085455
2024-11-26,142148451.73439047
2024-11-27,142261411.13009053
2024-11-29,142436894.2964782
2024-12-02,144205314.49400645
2024-12-03,144590475.64996356
2024-12-04,144759454.45916098
2024-12-05,145843641.15741193
2024-12-06,147662305.7096901
2024-12-09,148199538.64900553
2024-12-10,150274663.10202566
2024-12-11,152142821.61856246
2024-12-12,152231239.88173676
2024-12-13,152035764.70783386
2024-12-16,153360971.53333825
2024-12-17,155273763.9775175
2024-12-18,156303766.56568956
2024-12-19,157365101.30032563
2024-12-20,155556111.0527446
2024-12-23,156246958.8528806
2024-12-24,156953448.81014305
2024-12-26,156354221.03347564
2024-12-27,156139726.16106915
2024-12-30,156675412.6203082
2024-12-31,155963181.59580877
