Date,port_pnl
2023-06-16,-175525.83422361314
2023-06-20,712566.339490518
2023-06-21,-1488466.843556866
2023-06-22,1447609.8556803316
2023-06-23,-754988.8262743354
2023-06-26,-2665008.928989768
2023-06-27,1684929.0129165351
2023-06-28,238758.75193728507
2023-06-29,412118.62575306
2023-06-30,1977248.5474408418
2023-07-03,591345.8218714744
2023-07-05,515641.098674953
2023-07-06,-838793.3634687513
2023-07-07,-373660.5121051967
2023-07-10,-829005.2034508139
2023-07-11,677044.5797742158
2023-07-12,1668679.5929655135
2023-07-13,2250830.6298262924
2023-07-14,208514.90333744884
2023-07-17,1041963.4233857989
2023-07-18,625945.7263186872
2023-07-19,14688.63238954544
2023-07-20,-2494918.755151689
2023-07-21,-855065.5337032378
2023-07-24,895406.2064079195
2023-07-25,491858.059897393
2023-07-26,286688.2276839912
2023-07-27,-254769.68544325233
2023-07-28,2561599.4792001396
2023-07-31,-424525.1100772023
2023-08-01,-375236.26818816364
2023-08-02,-2539153.16959472
2023-08-03,408217.3812072277
2023-08-04,-3603.601781308651
2023-08-07,1208371.5451033562
2023-08-08,-901443.4669934362
2023-08-09,-1950858.818431437
2023-08-10,165861.53504951298
2023-08-11,-631156.2165545821
2023-08-14,1578936.742134586
2023-08-15,-1546249.1405511498
2023-08-16,-1317325.484382704
2023-08-17,-1120536.8877221644
2023-08-18,-584946.4012516588
2023-08-21,2339448.00076358
2023-08-22,-461211.2697285861
2023-08-23,1712516.8176271915
2023-08-24,-1860957.366245389
2023-08-25,796213.8945858926
2023-08-28,600645.339413926
2023-08-29,2792918.595108524
2023-08-30,319272.84363111854
2023-08-31,48502.382414892316
2023-09-01,-630783.183782205
2023-09-05,605781.8496840745
2023-09-06,-1551164.2561242431
2023-09-07,-316082.6930696964
2023-09-08,41794.27354773879
2023-09-11,2373551.0676249117
2023-09-12,-1086701.794859603
2023-09-13,980415.7319032997
2023-09-14,726675.9784050286
2023-09-15,-1988554.6331820488
2023-09-18,185507.46177010238
2023-09-19,-213541.4698521942
2023-09-20,-1936536.2165676504
2023-09-21,-2215853.14400734
2023-09-22,-532557.6706514359
2023-09-25,666699.3199900389
2023-09-26,-1854460.8270148784
2023-09-27,-44677.872803241014
2023-09-28,1123382.0490419269
2023-09-29,-128357.46115258336
2023-10-02,1475049.8652376235
2023-10-03,-1962992.271639824
2023-10-04,1927752.8402712643
2023-10-05,366049.7607844025
2023-10-06,1877037.6819713116
2023-10-09,249111.05596281588
2023-10-10,610343.5297304243
2023-10-11,964012.3195486963
2023-10-12,-323111.0104268044
2023-10-13,-1449513.9068869352
2023-10-16,1278282.1169821173
2023-10-17,-664070.8031745851
2023-10-18,-2496620.1874070466
2023-10-19,-1509253.7913248688
2023-10-20,-1738924.592644021
2023-10-23,577407.4665298313
2023-10-24,973714.3219675869
2023-10-25,-2675291.419464946
2023-10-26,-2768205.4586619884
