Date,EqualWeight,^GSPC
2023-05-04,-0.00497,-0.00722
2023-05-05,0.02311,0.01847
2023-05-08,0.00464,0.00045
2023-05-09,-0.00547,-0.00458
2023-05-10,0.0104,0.00448
2023-05-11,0.00708,-0.0017
2023-05-12,-0.00727,-0.00158
2023-05-15,0.00392,0.00296
2023-05-16,0.00446,-0.00638
2023-05-17,0.01732,0.01189
2023-05-18,0.0161,0.00945
2023-05-19,-0.0017,-0.00145
2023-05-22,0.00456,0.00016
2023-05-23,-0.01319,-0.01122
2023-05-24,-0.00319,-0.00732
2023-05-25,0.03109,0.00876
2023-05-26,0.02149,0.01305
2023-05-30,0.0073,2e-05
2023-05-31,-0.00698,-0.00611
2023-06-01,0.01876,0.00985
2023-06-02,0.00998,0.01453
2023-06-05,0.00118,-0.002
2023-06-06,0.00221,0.00235
2023-06-07,-0.01634,-0.00381
2023-06-08,0.01218,0.00619
2023-06-09,0.00525,0.00115
2023-06-12,0.01426,0.00932
2023-06-13,0.00828,0.00693
2023-06-14,0.00592,0.00082
2023-06-15,0.01165,0.01218
2023-06-16,-0.00152,-0.00367
2023-06-20,0.00618,-0.00474
2023-06-21,-0.01283,-0.00525
2023-06-22,0.01264,0.00371
2023-06-23,-0.00651,-0.00766
2023-06-26,-0.02313,-0.00449
2023-06-27,0.01497,0.01146
2023-06-28,0.00209,-0.00035
2023-06-29,0.0036,0.00447
2023-06-30,0.01721,0.01227
2023-07-03,0.00506,0.00117
2023-07-05,0.00439,-0.00197
2023-07-06,-0.00711,-0.00792
2023-07-07,-0.00319,-0.00287
2023-07-10,-0.0071,0.00241
2023-07-11,0.00584,0.00674
2023-07-12,0.01431,0.00741
2023-07-13,0.01903,0.00847
2023-07-14,0.00173,-0.00102
2023-07-17,0.00863,0.00386
2023-07-18,0.00514,0.00712
2023-07-19,0.00012,0.00236
2023-07-20,-0.02038,-0.00676
2023-07-21,-0.00713,0.00032
2023-07-24,0.00752,0.00403
2023-07-25,0.0041,0.00281
2023-07-26,0.00238,-0.00016
2023-07-27,-0.00211,-0.00642
2023-07-28,0.02126,0.00988
2023-07-31,-0.00345,0.00147
2023-08-01,-0.00306,-0.00267
2023-08-02,-0.02077,-0.01384
2023-08-03,0.00341,-0.00255
2023-08-04,-3e-05,-0.0053
2023-08-07,0.01006,0.00902
2023-08-08,-0.00743,-0.00422
2023-08-09,-0.0162,-0.00704
2023-08-10,0.0014,0.00025
2023-08-11,-0.00532,-0.00107
2023-08-14,0.01338,0.00575
2023-08-15,-0.01293,-0.01155
2023-08-16,-0.01116,-0.00756
2023-08-17,-0.0096,-0.00771
2023-08-18,-0.00506,-0.00015
2023-08-21,0.02034,0.00688
2023-08-22,-0.00393,-0.00278
2023-08-23,0.01465,0.01104
2023-08-24,-0.01569,-0.01346
2023-08-25,0.00682,0.00672
2023-08-28,0.00511,0.00626
2023-08-29,0.02364,0.01451
2023-08-30,0.00264,0.00383
2023-08-31,0.0004,-0.0016
2023-09-01,-0.0052,0.0018
2023-09-05,0.00502,-0.00419
2023-09-06,-0.01279,-0.00697
2023-09-07,-0.00264,-0.00321
